ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-08-20T05:30:01Z,1787203801,server,bench-minio,628.91,1040850944,2147483648,4263521294,6386014604,2586550272,4279279616
2026-08-20T05:30:03Z,1787203803,client,bench-warp,18.18,62992384,1073741824,6421346108,4279372609,,
2026-08-20T05:30:03Z,1787203803,server,bench-minio,587.63,1043968000,2147483648,4279374731,6421346631,2601512960,4298305536
2026-08-20T05:30:04Z,1787203804,client,bench-warp,3.67,62992384,1073741824,6425494508,4280438543,,
2026-08-20T05:30:04Z,1787203804,server,bench-minio,591.45,1047142400,2147483648,4280441061,6426032285,2606583808,4300414976
2026-08-20T05:30:05Z,1787203805,client,bench-warp,21.44,62341120,1073741824,6437124852,4281097439,,
2026-08-20T05:30:05Z,1787203805,server,bench-minio,454.45,1052012544,2147483648,4281102003,6439227447,2609164288,4303581184
2026-08-20T05:30:05Z,1787203805,client,bench-warp,34.89,62341120,1073741824,6449738572,4281109319,,
2026-08-20T05:30:06Z,1787203806,server,bench-minio,133.54,1051721728,2147483648,4281111375,6449739029,2612047872,4303593472
2026-08-20T05:30:06Z,1787203806,client,bench-warp,99.59,65671168,1073741824,6449738572,4281109319,,
2026-08-20T05:30:06Z,1787203806,server,bench-minio,34.55,1051500544,2147483648,4281111375,6449739029,2612105216,4303593472
2026-08-20T05:30:07Z,1787203807,client,bench-warp,37.26,58916864,1073741824,6449862656,4281115923,,
2026-08-20T05:30:07Z,1787203807,server,bench-minio,63.71,1051631616,2147483648,4281118639,6449887235,2612965376,4313923584
2026-08-20T05:30:08Z,1787203808,client,bench-warp,3.00,60887040,1073741824,6450116182,4281187486,,
2026-08-20T05:30:08Z,1787203808,server,bench-minio,112.92,1051058176,2147483648,4281189542,6450116639,2614284288,4313923584
2026-08-20T05:30:09Z,1787203809,client,bench-warp,19.54,64794624,1073741824,6450550126,4281263859,,
2026-08-20T05:30:09Z,1787203809,server,bench-minio,86.62,1049628672,2147483648,4281265915,6450550583,2616205312,4313923584
2026-08-20T05:30:11Z,1787203811,server,bench-minio,58.52,1047064576,2147483648,4281324242,6450917870,2617270272,4329635840
2026-08-20T05:30:11Z,1787203811,server,bench-minio,0.59,1047064576,2147483648,4281324242,6450917870,2617270272,4329635840
